Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
negative regulation of protein binding (GO:0032091)	1/74	0.38104573395320596	0.4522008710090402	0	0	2.1187928082191783	2.0442873118682727	CTSZ
cellular response to amino acid starvation (GO:0034198)	1/74	0.38104573395320596	0.4522008710090402	0	0	2.1187928082191783	2.0442873118682727	LAMTOR1
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	1/74	0.38104573395320596	0.4522008710090402	0	0	2.1187928082191783	2.0442873118682727	PLAGL1
regulation of stress fiber assembly (GO:0051492)	1/74	0.38104573395320596	0.4522008710090402	0	0	2.1187928082191783	2.0442873118682727	NRP1
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	1/75	0.3850528079625041	0.454971171875765	0	0	2.0900548986486487	1.9946957061597144	PSMD2
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	1/75	0.3850528079625041	0.454971171875765	0	0	2.0900548986486487	1.9946957061597144	CUL4A
fibroblast growth factor receptor signaling pathway (GO:0008543)	1/75	0.3850528079625041	0.454971171875765	0	0	2.0900548986486487	1.9946957061597144	FLRT2
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	1/75	0.3850528079625041	0.454971171875765	0	0	2.0900548986486487	1.9946957061597144	PSMD2
response to amino acid starvation (GO:1990928)	1/75	0.3850528079625041	0.454971171875765	0	0	2.0900548986486487	1.9946957061597144	LAMTOR1
regulation of protein kinase B signaling (GO:0051896)	2/207	0.3865599880028547	0.45610899189581544	0	0	1.5107355483003648	1.4359061194941012	ITGB1;IGF1R
regulation of BMP signaling pathway (GO:0030510)	1/76	0.38903414014643084	0.45610899189581544	0	0	2.0620833333333333	1.946788491570107	GREM1
cell morphogenesis involved in neuron differentiation (GO:0048667)	1/76	0.38903414014643084	0.45610899189581544	0	0	2.0620833333333333	1.946788491570107	APP
regulation of epithelial to mesenchymal transition (GO:0010717)	1/76	0.38903414014643084	0.45610899189581544	0	0	2.0620833333333333	1.946788491570107	GREM1
establishment of protein localization to organelle (GO:0072594)	1/76	0.38903414014643084	0.45610899189581544	0	0	2.0620833333333333	1.946788491570107	NUP93
positive regulation of growth (GO:0045927)	1/76	0.38903414014643084	0.45610899189581544	0	0	2.0620833333333333	1.946788491570107	EIF4G1
positive regulation of interleukin-6 production (GO:0032755)	1/76	0.38903414014643084	0.45610899189581544	0	0	2.0620833333333333	1.946788491570107	APP
RNA transport (GO:0050658)	1/76	0.38903414014643084	0.45610899189581544	0	0	2.0620833333333333	1.946788491570107	CKAP5
protein import into nucleus (GO:0006606)	1/76	0.38903414014643084	0.45610899189581544	0	0	2.0620833333333333	1.946788491570107	NUP93
mitotic cell cycle phase transition (GO:0044772)	2/209	0.39112550322603695	0.45759097314490266	0	0	1.4959869146791434	1.4043229948704132	CUL4A;CKAP5
cellular response to UV (GO:0034644)	1/77	0.39298989458326933	0.45759097314490266	0	0	2.0348478618421053	1.9004896675926963	MMP2
regulation of organelle assembly (GO:1902115)	1/77	0.39298989458326933	0.45759097314490266	0	0	2.0348478618421053	1.9004896675926963	TBC1D13
import into nucleus (GO:0051170)	1/77	0.39298989458326933	0.45759097314490266	0	0	2.0348478618421053	1.9004896675926963	NUP93
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	1/77	0.39298989458326933	0.45759097314490266	0	0	2.0348478618421053	1.9004896675926963	IGF1R
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	1/77	0.39298989458326933	0.45759097314490266	0	0	2.0348478618421053	1.9004896675926963	HUWE1
positive regulation of tumor necrosis factor production (GO:0032760)	1/77	0.39298989458326933	0.45759097314490266	0	0	2.0348478618421053	1.9004896675926963	APP
positive regulation of type I interferon production (GO:0032481)	1/77	0.39298989458326933	0.45759097314490266	0	0	2.0348478618421053	1.9004896675926963	NFKB2
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	1/78	0.39692023436085627	0.461772043396719	0	0	2.0083198051948052	1.8557275448680048	PSMD2
axon development (GO:0061564)	1/79	0.40082532149974487	0.4651215334809326	0	0	1.982471955128205	1.8124344509826862	APP
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	1/79	0.40082532149974487	0.4651215334809326	0	0	1.982471955128205	1.8124344509826862	RNF217
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	1/79	0.40082532149974487	0.4651215334809326	0	0	1.982471955128205	1.8124344509826862	RNF217
regulation of NIK/NF-kappaB signaling (GO:1901222)	1/80	0.40470531691488615	0.46802655697639894	0	0	1.9572784810126582	1.770546459536229	APP
regulation of protein localization to plasma membrane (GO:1903076)	1/80	0.40470531691488615	0.46802655697639894	0	0	1.9572784810126582	1.770546459536229	ITGB1
glycerophospholipid metabolic process (GO:0006650)	1/80	0.40470531691488615	0.46802655697639894	0	0	1.9572784810126582	1.770546459536229	FAR1
response to interferon-gamma (GO:0034341)	1/80	0.40470531691488615	0.46802655697639894	0	0	1.9572784810126582	1.770546459536229	IFITM3
negative regulation of protein modification process (GO:0031400)	1/81	0.4085603806204592	0.4716826126008697	0	0	1.93271484375	1.7300031394024182	CORO1C
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	1/81	0.4085603806204592	0.4716826126008697	0	0	1.93271484375	1.7300031394024182	APP
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	1/82	0.41239067158442955	0.47489526956378003	0	0	1.9087577160493827	1.6907473251868823	GTPBP4
cell-cell junction organization (GO:0045216)	1/82	0.41239067158442955	0.47489526956378003	0	0	1.9087577160493827	1.6907473251868823	TLN1
positive regulation of protein ubiquitination (GO:0031398)	1/82	0.41239067158442955	0.47489526956378003	0	0	1.9087577160493827	1.6907473251868823	HUWE1
peptide metabolic process (GO:0006518)	1/83	0.41619634775140785	0.4780633724171577	0	0	1.8853849085365855	1.6527249045464205	HM13
regulation of osteoblast differentiation (GO:0045667)	1/83	0.41619634775140785	0.4780633724171577	0	0	1.8853849085365855	1.6527249045464205	GREM1
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034)	1/83	0.41619634775140785	0.4780633724171577	0	0	1.8853849085365855	1.6527249045464205	NRP1
transcription, DNA-templated (GO:0006351)	2/221	0.4181918012038025	0.4799500840820012	0	0	1.4131521231078992	1.2320073554871112	MNT;CDC73
anaphase-promoting complex-dependent catabolic process (GO:0031145)	1/84	0.41997756607165687	0.4807823988699102	0	0	1.8625753012048192	1.6158846216566236	PSMD2
lymphocyte differentiation (GO:0030098)	1/84	0.41997756607165687	0.4807823988699102	0	0	1.8625753012048192	1.6158846216566236	ITGB1
