Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of transcription, DNA-templated (GO:0006355)	90/2244	1.0704904619586838E-7	2.728166909119803E-4	0	0	1.9525563842214035	31.338488439480173	ZNF770;CDKN1A;ZNF251;YEATS4;NUCKS1;ZBTB22;AHR;ETS1;GLI2;LOXL2;ELK4;MED14;SUMO1;SIN3A;SIX5;ZNF726;CREB3L2;ZNF329;AKT1;EP300;KAT7;ZNF764;FADS1;DDX17;MAP2K3;ZNF562;ACVR1;ZNF561;ZHX2;KDM2A;KLF13;ZFP1;SP110;SOX13;SOX12;FOS;RGMB;ILF2;HCFC1;ARGFX;TFDP2;SUB1;WAC;ZNF678;DDX5;NFIX;KMT2A;ZBTB47;FOXG1;TULP3;FOXK2;MRPL12;ZNF8;NACC1;ERBB2;ZNF426;INPP5K;ZBTB7A;MEF2D;ZNF664;TRIM44;HOXC6;CDK17;ZNF584;MLXIP;ZNF460;BRPF1;POU2F1;UBE2I;DAB2IP;PA2G4;INHBA;TADA2A;NR6A1;NR4A3;NFIB;NFIC;SP3;MDM2;HBP1;MAFK;HDGF;ZNF578;CALR;TCF3;NAA15;ZNF610;ZNF652;NFE2L1;PHF19
regulation of transcription by RNA polymerase II (GO:0006357)	88/2206	1.9521766791554942E-7	2.728166909119803E-4	0	0	1.9352330167194356	29.89770642821753	ZNF770;CDKN1A;ZNF251;CRTC1;SERPINE1;AKAP8L;PTEN;YEATS4;NUCKS1;ZBTB22;AHR;TRIAP1;GABPB1;ETS1;GLI2;LOXL2;ELK4;MED14;SUMO1;SIN3A;SIX5;ZNF726;CREB3L2;ZNF329;EP300;KAT7;ZNF764;HRAS;DDX17;ACVR1;SS18;ZNF561;ZHX2;KDM2A;KLF13;ZFP1;SP110;NCOA3;SOX13;SOX12;FOS;HCFC1;ARGFX;TFDP2;SUB1;EZR;SQSTM1;DDX5;NFIX;KMT2A;ZBTB47;FOXG1;FOXK2;ZNF8;DNAJB1;CCNB1;NACC1;ERBB2;ZNF426;ZBTB7A;MEF2D;HOXC6;ZNF584;MLXIP;XBP1;POU2F1;UBE2I;USP9X;DAB2IP;INHBA;EFNA1;TADA2A;NR6A1;NR4A3;NFIB;CNOT1;NFIC;SP3;MDM2;HBP1;MAFK;HDGF;ZNF578;CALR;TCF3;ZNF610;ZNF652;NFE2L1
positive regulation of transcription, DNA-templated (GO:0045893)	54/1183	1.3590462089877395E-6	0.0012661780513735772	0	0	2.1580914916896785	29.153069711192483	ELL;CRTC1;SERPINE1;AKAP8L;YEATS4;AHR;TRIAP1;GABPB1;ETS1;GLI2;ELK4;MED14;SIN3A;CREB3L2;AKT1;EP300;KAT7;HRAS;DDX17;MAP2K3;ACVR1;SS18;SUPT16H;NCOA3;WDR75;SOX12;FOS;RGMB;ILF2;HCFC1;TFDP2;WAC;SQSTM1;NFIX;KMT2A;HEATR1;FOXK2;MRPL12;ERBB2;INPP5K;MEF2D;TRIM44;MLXIP;XBP1;BRPF1;POU2F1;DAB2IP;INHBA;NR4A3;NFIB;NFIC;SP3;TCF3;NAA15
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	10/65	2.2548735605565998E-6	0.0014579190823441382	0	0	7.837087691069992	101.90107953899727	CDKN1A;CCNB1;CNOT6;TFDP2;CNOT1;RFWD3;WAC;MDM2;EP300;TRIAP1
cellular response to epidermal growth factor stimulus (GO:0071364)	7/28	2.6080842260181365E-6	0.0014579190823441382	0	0	14.298168498168499	183.8300456280742	PDPK1;ERBB2;DAB2IP;INPP5K;IQGAP1;PTPN12;ZFP36L1
positive regulation of transcription by RNA polymerase II (GO:0045944)	42/908	1.6019482249528038E-5	0.00746240881457181	0	0	2.1561200923787527	23.8072418663083	NOTCH3;NFIX;ELL;KMT2A;CRTC1;SERPINE1;AKAP8L;FOXK2;YEATS4;AHR;TRIAP1;GABPB1;ETS1;GLI2;ELK4;MED14;SIN3A;EP300;KAT7;MEF2D;HRAS;DDX17;MLXIP;ACVR1;SS18;SUPT16H;XBP1;POU2F1;NCOA3;DAB2IP;SOX12;FOS;INHBA;HCFC1;NR4A3;TFDP2;NFIB;NFIC;SUB1;SP3;TCF3;SQSTM1
positive regulation of protein localization to membrane (GO:1905477)	11/101	2.1747347222156657E-5	0.008683405069418264	0	0	5.270460704607046	56.583765075798176	YWHAE;TFDP2;PDPK1;ERBB2;AKT1;SQSTM1;HRAS;YWHAZ;SPTBN1;YWHAG;BBC3
cellular senescence (GO:0090398)	6/27	2.882469180457523E-5	0.009954810504009839	0	0	12.228696741854636	127.8421975648621	CDKN1A;PRKCD;MAPKAPK5;CALR;HRAS;TERF2
ERAD pathway (GO:0036503)	10/87	3.20548459878671E-5	0.009954810504009839	0	0	5.591598666819905	57.86221071869787	FOXRED2;VCP;RNF103;RNF139;EDEM1;DERL1;RNF185;RNF121;HSP90B1;UBQLN2
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	8/56	4.098689860613776E-5	0.01057124471602735	0	0	7.154919236417034	72.28084072878337	CDKN1A;CCNB1;CNOT6;TFDP2;CNOT1;MDM2;EP300;TRIAP1
alternative mRNA splicing, via spliceosome (GO:0000380)	5/18	4.300072694389778E-5	0.01057124471602735	0	0	16.43241878471638	165.21636198020465	DDX17;HNRNPM;DDX5;SCNM1;SRSF1
ubiquitin-dependent ERAD pathway (GO:0030433)	9/73	4.5386381607273066E-5	0.01057124471602735	0	0	6.045322847682119	60.45503277906936	FOXRED2;VCP;RNF103;EDEM1;DERL1;RNF185;RNF121;HSP90B1;UBQLN2
negative regulation of signal transduction (GO:0009968)	18/267	5.3149499249145594E-5	0.011427142338566303	0	0	3.1405079778573755	30.910141608728217	ACVR1;NOTCH3;VCP;PRKCD;SPRY4;DAB2IP;PTEN;TULP3;PTPN12;CNOT1;TMBIM1;ERBB2;AKT1;PIP4K2A;INPP5K;TMBIM6;CALR;ZBTB7A
positive regulation of deoxyribonuclease activity (GO:0032077)	3/5	1.1829985693105422E-4	0.023617721437306897	0	0	63.84313725490196	577.2880336496241	DDX11;PRKCD;AKT1
positive regulation of nucleic acid-templated transcription (GO:1903508)	26/511	1.5773894202517736E-4	0.02893948654547139	0	0	2.3426558214319493	20.508942400002045	KMT2A;FOXK2;YEATS4;AHR;MRPL12;ETS1;GLI2;MED14;CREB3L2;AKT1;INPP5K;EP300;TRIM44;MAP2K3;ACVR1;BRPF1;FOS;INHBA;RGMB;ILF2;HCFC1;NFIB;SP3;WAC;TCF3;NAA15
