MIMAT0000649	mmu-miR-17-5p
MIMAT0000651	mmu-miR-19a-3p
MIMAT0000652	mmu-miR-25-3p
MIMAT0000653	mmu-miR-28a-5p
MIMAT0000654	mmu-miR-32-5p
MIMAT0000655	mmu-miR-100-5p
MIMAT0000656	mmu-miR-139-5p
MIMAT0000657	mmu-miR-200c-3p
MIMAT0000658	mmu-miR-210-3p
MIMAT0000659	mmu-miR-212-3p
MIMAT0000660	mmu-miR-181a-1-3p
MIMAT0000661	mmu-miR-214-3p
MIMAT0000662	mmu-miR-216a-5p
MIMAT0000663	mmu-miR-218-5p
MIMAT0000664	mmu-miR-219a-5p
MIMAT0000665	mmu-miR-223-3p
MIMAT0000666	mmu-miR-320-3p
MIMAT0000667	mmu-miR-33-5p
MIMAT0000668	mmu-miR-211-5p
MIMAT0000669	mmu-miR-221-3p
MIMAT0000670	mmu-miR-222-3p
MIMAT0000671	mmu-miR-224-5p
MIMAT0000672	mmu-miR-199b-5p
MIMAT0000673	mmu-miR-181b-5p
MIMAT0000674	mmu-miR-181c-5p
MIMAT0000677	mmu-miR-7a-5p
MIMAT0000678	mmu-miR-7b-5p
MIMAT0000679	mmu-miR-217-5p
MIMAT0000704	mmu-miR-361-5p
MIMAT0000706	mmu-miR-362-5p
MIMAT0000708	mmu-miR-363-3p
MIMAT0000711	mmu-miR-365-3p
MIMAT0000739	mmu-miR-375-3p
MIMAT0000740	mmu-miR-376a-3p
MIMAT0000741	mmu-miR-377-3p
MIMAT0000743	mmu-miR-379-5p
MIMAT0000745	mmu-miR-380-3p
MIMAT0000746	mmu-miR-381-3p
MIMAT0000747	mmu-miR-382-5p
MIMAT0000748	mmu-miR-383-5p
MIMAT0000766	mmu-miR-335-5p
MIMAT0000769	mmu-miR-133b-3p
MIMAT0000904	mmu-miR-215-5p
MIMAT0001076	mmu-miR-384-3p
MIMAT0001081	mmu-miR-196b-5p
MIMAT0001090	mmu-miR-409-3p
MIMAT0001091	mmu-miR-410-3p
MIMAT0001092	mmu-miR-376b-3p
MIMAT0001093	mmu-miR-411-3p
MIMAT0001094	mmu-miR-412-3p
MIMAT0001095	mmu-miR-370-3p
MIMAT0001418	mmu-miR-431-5p
MIMAT0001420	mmu-miR-433-3p
MIMAT0001421	mmu-miR-434-5p
MIMAT0001422	mmu-miR-434-3p
MIMAT0001533	mmu-miR-448-3p
MIMAT0001537	mmu-miR-429-3p
MIMAT0001542	mmu-miR-449a-5p
MIMAT0001546	mmu-miR-450a-5p
MIMAT0001632	mmu-miR-451a
MIMAT0001637	mmu-miR-452-5p
MIMAT0002106	mmu-miR-465a-5p
MIMAT0002107	mmu-miR-466a-3p
MIMAT0002108	mmu-miR-467a-3p
MIMAT0002111	mmu-miR-470-5p
MIMAT0002112	mmu-miR-471-5p
MIMAT0002889	mmu-miR-532-5p
MIMAT0003112	mmu-miR-489-3p
MIMAT0003120	mmu-miR-483-3p
MIMAT0003128	mmu-miR-485-5p
MIMAT0003129	mmu-miR-485-3p
MIMAT0003130	mmu-miR-486a-5p
MIMAT0003151	mmu-miR-378a-3p
MIMAT0003167	mmu-miR-540-3p
MIMAT0003168	mmu-miR-543-3p
MIMAT0003169	mmu-miR-539-5p
MIMAT0003170	mmu-miR-541-5p
MIMAT0003172	mmu-miR-542-3p
MIMAT0003173	mmu-miR-547-3p
