C1_H1	C1_H2	C1_H3	C1_N1	C1_N2	C1_N3	C2_H1	C2_H2	C2_H3	C2_N1	C2_N2	C2_N3	C3_H1	C3_H2	C3_H3	C3_N1	C3_N2	C3_N3
LOC101927876	3.40001259265261	3.92122434741616	3.91257528297273	3.8813975092193	4.01691992231889	3.5802424965504	4.12232377176387	4.1801025870964	3.20267468492256	3.76718156274282	3.78545165260271	3.82295719731105	4.65240347607162	4.45912205569762	3.81408448104685	3.65504499787524	4.01564688104412	4.0024506633018
LOC100506801	2.94017959263623	2.99963862984906	2.49149189377317	2.70283634654183	3.18872847327157	2.9810173792557	2.93597104465281	2.64270720771114	3.06828395696967	2.54557509563084	2.86119834725773	2.3754663789862	2.75432179590559	2.92166298993239	2.96538833624835	3.2287993534484	2.29611328174901	2.47204051315558
LINC00339	4.99922064909207	5.13318976888038	5.01129592379691	5.27429978565876	5.26608631597004	5.19913858983384	4.06332202408324	4.29294592988883	4.8172503090162	5.2751888005976	4.70483604718839	5.05237451903137	4.0655148511302	3.35753137102235	4.57748064527618	3.3406869100563	4.43554024378823	3.71960486200433
LOC101928163	3.97637650841732	3.70696844405119	3.68180810858088	3.89215716907082	4.00347771462771	3.28306973288143	3.62720982392302	3.6497461106312	3.29972981350482	3.96408083459216	3.54231285246888	3.57831960382763	3.47804078983407	4.04847012395167	3.50477698326921	4.31604727676649	3.21259932007635	3.21876328314038
MIR378F	1.0380126050499	0.994571309856491	1.21711597084838	0.972213472599617	1.18519737979587	1.5665792864361	1.72049771258079	1.1928233613619	1.29666942534388	1.42353099347404	1.5985059733643	1.4505211546475	1.48118068333389	1.60177406626634	1.24550597329638	0.834448488190825	1.74337103478536	1.89615761751574
LOC284632	2.54929476695228	1.73195312576215	2.1178800790064	1.61476715724138	2.21261389769736	1.61430669771399	1.49244472910813	1.67808874764877	1.54642621546645	1.90760284834529	1.44846366787861	1.79692698113974	1.88755414302234	1.90653337787542	2.21996023887984	1.97745141430749	2.1546973898947	2.05096740232315
MIR4425	2.51676736525233	2.1895455770864	3.21593675332666	3.0558464462281	2.52286784618232	2.84623449059136	1.74634659294532	2.88780186645957	2.68740102720639	2.42202051549985	2.6847826840526	2.48104021188262	2.11459767963776	1.74498542727069	1.82772614461531	2.50429288723453	3.04038717796073	2.44259293018765
SCARNA1	1.43823484667745	1.15563143313405	1.09329040763385	1.2266681866481	0.93101378550006	1.38534530800424	0.825138528739488	0.980436329373477	1.55922693928248	1.40290542599465	0.909551799394841	1.19838529854073	0.904504288447993	0.887179386432376	0.976677876108999	0.923328207278684	0.919432956917752	1.00517395883229
RNU11	5.75528338607135	6.01656275315506	5.97791555635847	5.91032046641403	6.03463174742932	5.8844364799499	5.21893036804619	5.48130959615596	5.53461081851398	5.56155708992789	5.64142693181875	5.83463189382083	5.38101543231119	5.73414316217444	5.50752577084228	5.61245384741907	5.96443563109552	5.9320798318202
LINC01225	3.93671467191147	3.23851720873059	3.40427725936978	3.38220189122963	2.90201441411209	3.0746139062366	3.65488276503945	3.72898920528838	3.1378470772886	2.62519219217296	3.70528951107183	3.14992738708394	3.24813026025411	3.55136021407151	3.33898057569176	3.65340493391478	3.21088291476655	3.17033908744486
LOC101929464	2.69580424859061	2.62833748415759	3.06991197562123	2.53189201165174	2.84825593781679	2.78362189734238	2.80610476932503	2.38035331338656	2.83914588000499	2.19463684235921	2.81677310665256	3.00010458074927	2.92082037881538	3.13421383258667	2.71061083123712	2.88581212963548	2.91411874356231	2.72387319644634
