Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cellular protein modification process (GO:0006464)	117/1025	5.3528956226021454E-12	2.112787902241067E-8	0	0	2.1498187386839978	55.79507010222873	APP;GMFB;CCNT1;UBE2D2;LRR1;CCNF;PLOD2;LGALS1;CDH2;PPP2R1A;OGFOD1;AKT3;CHEK1;PSMD1;SBF1;PRKACB;RAB2A;CSNK1G3;WSB1;CSNK2A1;FBXW7;IGFBP3;UBE2E1;DYRK1A;UBE2E2;ADAM10;DYRK1B;LMO7;PDIA6;FBXW2;CDC25B;ILF3;MELK;CCNE1;PSME3;ULK1;SIK1;PSMD10;MTMR2;MTMR3;RPN2;CUL3;TXK;PIK3R4;DCUN1D1;ZC3HAV1;LTBP1;TIMM50;STK38;ABL2;NAE1;SOCS5;MARK1;CDK17;YES1;ICMT;PLK2;RHBDD1;EIF2AK2;CLK2;PTPRD;COPS4;CDK6;UBE2S;WNK3;CDK12;UBE2M;FGFR1;PRKAG1;PTEN;MIA3;LAMC1;IKBKB;SERP1;FASTK;TLK1;DUSP5;BRD2;MAP4K2;DUSP2;DUSP1;MINK1;WIPI1;WIPI2;PPP2R5C;UCHL3;YWHAZ;LRRC41;CKAP4;PPM1A;GAN;CTDSP1;BIRC5;SGK1;DTL;B4GALT5;RAB1A;FSTL1;THBS1;PSMB6;CST3;PAK1;DCAF17;TNKS2;PSMB1;FEM1C;DCAF10;FNIP2;RYK;FBXL18;WWP2;HIPK2;KTN1;PSMC1;TAOK1;PSMC2;FRK
regulation of translation (GO:0006417)	33/178	4.83987690077113E-9	9.360123671768974E-6	0	0	3.6714749798825737	70.29544245971309	EIF4A2;APP;MTPN;BTG2;DDX3X;POLDIP3;DDX1;THBS1;TOB1;GLE1;RPS6KA3;LARP1;OGFOD1;EIF4H;PAIP2;EIF2A;TRAP1;EIF5B;NPM1;YTHDF3;CIRBP;EIF2AK2;DHFR;ILF3;NEMF;CSDE1;GEMIN5;EIF3H;EIF3E;CALR;VIM;CPEB3;EIF4G1
negative regulation of transcription, DNA-templated (GO:0045892)	101/948	7.114357997290834E-9	9.360123671768974E-6	0	0	1.9669302231285701	36.90187461133367	RIF1;NAB1;EHMT1;PRDM1;RPS14;SALL1;TRIM28;CCND1;MYB;ZNF202;PIAS4;MSX2;ZNF282;RPL23;WNT5A;ARID5B;DICER1;ZBTB33;HCFC2;SAP30;ILF3;THAP5;TBL1XR1;PPID;PSMD10;CBFB;MAZ;SUPT4H1;GATA3;FOXO1;MIER1;ZNF703;SMYD2;LYAR;RREB1;HEXIM1;TFAP2A;SMAD2;HSPA8;XRCC6;ZFHX3;PHC2;CBX5;PHF10;CBX4;SMURF2;XRCC5;CBX3;CBX2;NONO;NR2F1;IRF2BP1;IRF2BP2;PHC3;SMAD7;IL4;BCL6;SP3;MAFK;CALR;CPEB3;FHL2;NKAP;OTUD7B;CDC73;GLI2;SCML1;LBH;SUMO1;VPS72;JARID2;PRMT6;EED;ZHX1;PPM1A;ZNF639;IRF2;BIRC5;VGLL4;FOXK1;PBXIP1;BCLAF1;BTAF1;CUX1;NSD1;BRD7;ZNF620;FNIP2;E2F7;CNBP;WWP2;GATAD2B;PML;VEGFA;SKI;KLF7;NR6A1;PDCD4;ZNF217;HDGF;FRK
cellular protein metabolic process (GO:0044267)	56/417	9.492579117722915E-9	9.366802444413087E-6	0	0	2.5237166991552957	46.620001507243956	APP;MRPS16;UBE2D2;MRPS11;RPLP0;MRPL36;PLOD2;MIA3;LAMC1;RPL7;RPS15;PCMT1;RPS14;LGALS1;SERP1;CDH2;RPL18A;FDXR;CSNK1G3;RPL23;IGFBP3;RPS5;ADAM10;PDIA6;FBXW2;CKAP4;MRPL52;ADORA2B;PAPPA;L2HGDH;RPN2;RPL12;RPL36A;FSTL1;LTBP1;MRPL10;CST3;STK38;ABL2;EIF4EBP2;RPL15;ABCF1;ICMT;YES1;SIAH2;CCDC59;RPL35A;WWP2;RPL23A;KTN1;SPCS3;UBE2S;RAB12;RPL27A;EIF4G1;UBE2M
protein polyubiquitination (GO:0000209)	46/314	1.3970342510794375E-8	1.102818837802108E-5	0	0	2.781977351007202	50.315758048100726	PSMD10;CBFB;UBE2D2;CUL3;CCNF;TNFAIP3;RNF6;PSMB6;NPEPPS;ZNRF2;HECTD1;RMND5A;TNKS2;CDC27;PSMB1;PSMD1;WSB1;NHLRC3;SMURF2;FBXW7;SIAH2;AMFR;IRF2BP1;UBE2E1;UBE2E2;UBE4A;FBXL18;WWP2;LMO7;UBE4B;RC3H2;FBXW2;RNF41;UBE2S;PSME3;PSMC1;UBE2T;PSMC2;TRAF5;BCL2;TPP2;BLMH;DTL;THOP1;ANAPC1;BIRC2
gene expression (GO:0010467)	49/356	3.652490739763991E-8	2.402730158308079E-5	0	0	2.5882975959713037	44.32529883283595	MRPS16;MRPS11;RPLP0;MRPL36;PWP1;RPL7;GLE1;RPS15;RPS14;RPL18A;AGFG1;DDX17;NUP210;RPL23;RPS5;MRPL44;MRPL52;HNRNPUL1;ZC3H11A;NUP50;SRSF4;SLU7;YTHDC1;POLDIP3;RPL12;SRSF1;RPL36A;CREBL2;U2AF1;MRPL10;FIP1L1;PABPN1;POLR2A;U2AF2;POLR2C;EIF4EBP2;NUP88;RPL15;ABCF1;RBM39;NUP155;GALNT2;RPL35A;RPL23A;SETX;HNRNPK;RPL27A;EIF4G1;NUP37
negative regulation of programmed cell death (GO:0043069)	51/381	4.829698812821132E-8	2.7232601734578587E-5	0	0	2.5074626865671643	42.24045723610144	DDX3X;ZFAND6;FHL2;TM7SF3;IGF1R;IKBKB;RPS6KA3;CCND2;OPA1;IL10;BNIP3L;ANXA4;SPHK1;HGF;WNT5A;ADAM10;MIF;YWHAZ;RASA1;PPIF;BIRC5;NAA35;SQSTM1;BIRC2;PSMD10;TAF9;PIK3R1;FSTL1;THBS1;FOXO1;PDCD10;MCL1;TXNDC5;TFAP2A;NPM1;EGR3;CBX4;PLK2;SIAH2;RHBDD1;IL2;VEGFA;SETX;IL4;HNRNPK;KRT18;SON;WNK3;BCL2;BCL2L2;MAD2L1
negative regulation of apoptotic process (GO:0043066)	60/485	5.9355684975673294E-8	2.928461107487281E-5	0	0	2.2969286829776157	38.22024539739617	ITGB1;DDX3X;ZFAND6;FHL2;IGF1R;IKBKB;FOXQ1;RPS6KA3;CCND2;OPA1;IL10;BNIP3L;DFFA;CSNK2A1;ANXA4;SPHK1;HGF;WNT5A;ADAM10;MIF;YWHAZ;PTRH2;RASA1;PPIF;BIRC5;NAA35;SQSTM1;BIRC2;PSMD10;MAZ;TAF9;PIK3R1;FSTL1;DLL1;THBS1;FOXO1;DNAJB6;PDCD10;MCL1;TXNDC5;TFAP2A;NPM1;EGR3;CBX4;PLK2;SIAH2;RHBDD1;SOD2;IL2;VEGFA;SETX;IL4;HNRNPK;SON;KRT18;WNK3;BCL2;BCL2L2;CPEB4;MAD2L1
RNA processing (GO:0006396)	31/179	7.255331010689965E-8	3.181865722132588E-5	0	0	3.3726768183196136	55.44324613389259	SF3B3;CELF1;GEMIN2;SRSF1;SUPT4H1;U2AF1;PABPN1;PPP2R1A;U2AF2;KHSRP;DHX15;SNRPD3;SF3B1;HNRNPA0;DDX17;RBM39;SCAF11;NONO;DICER1;ZCRB1;MRPL44;SETX;HNRNPK;SON;HNRNPUL1;PRPF3;TUT1;SRSF4;CDK12;SLU7;SNRPB
regulation of apoptotic process (GO:0042981)	81/742	8.39634835237321E-8	3.314038694681706E-5	0	0	2.0054171003575476	32.67402789209684	ITGB1;DDX3X;ZFAND6;FHL2;IGF1R;IKBKB;ING5;RPS6KA3;LGALS1;CCND2;OPA1;DNM1L;CTSD;IL10;BNIP3L;DFFA;ANXA4;SPHK1;IGFBP3;HGF;LANCL1;WNT5A;ARHGEF19;ADAM10;MIF;YWHAZ;MELK;RASA1;PPIF;BIRC5;NAA35;ITGA6;EEF1E1;SGK1;ATF6;SQSTM1;BIRC2;PPID;PSMD10;VCP;MAGED1;TAF9;HTT;PIK3R1;FSTL1;THBS1;FOXO1;RTN4;BCLAF1;PDCD10;PERP;TP53INP1;NAE1;ZNF622;SLIT2;MCL1;TXNDC5;TFAP2A;NPM1;EGR3;GADD45B;CBX4;PLK2;SIAH2;RHBDD1;IL2;VEGFA;SETX;IL4;RSL1D1;HNRNPK;SON;KRT18;BCL6;ERCC3;WNK3;BCL2;TRIM35;CALR;BCL2L2;MAD2L1
