PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC1000009881.hg.1	NR_036506	PPIAP30	peptidylprolyl isomerase A (cyclophilin A) pseudogene 30	-0.145218960792521	2.64871981016799	-1.28268275295427	0.207226043672055	0.761414015001277	-5.33278347589113
TC1000009920.hg.1	NR_108060	VIM-AS1	VIM antisense RNA 1	0.0445972653275528	2.18653838396146	0.337179193146724	0.737802120774919	0.963735268310772	-6.06377219393703
TC1000009932.hg.1	NR_110370	STAM-AS1	STAM antisense RNA 1 (head to head)	0.00534703835335648	2.26145822488041	0.0412055350124361	0.967343709178183	0.995580541474641	-6.11840338530041
TC1000009945.hg.1	NR_038419	SLC39A12-AS1	SLC39A12 antisense RNA 1	0.129827571856641	1.07384824176364	1.11045112966674	0.273650721781587	0.809415064655635	-5.5266067994606
TC1000009967.hg.1	NR_120646	LOC101928834	uncharacterized LOC101928834	0.0470771440936701	2.92092489091418	0.356377985084613	0.723491465260917	0.961273559495046	-6.05728770609052
TC1000009998.hg.1	NR_031736	MIR1915	microRNA 1915	0.000867346645357259	6.01247062447468	0.0099453795246873	0.992115913714634	0.999028359025561	-6.11918458983626
TC1000010020.hg.1	NR_036533	LOC100499489	uncharacterized LOC100499489	0.408848625912992	3.39898987394496	1.89953965387587	0.0649582793736669	0.55374529357401	-4.4373347318343
TC1000010038.hg.1	NR_103721	LINC01552	long intergenic non-protein coding RNA 1552	-0.113152487765476	1.3368161949707	-0.876038533295751	0.386409635126599	0.869766463751459	-5.74811954419695
TC1000010073.hg.1	NR_027333	GPR158-AS1	GPR158 antisense RNA 1	-0.127095529083157	2.23411910477203	-0.962532817624948	0.341752757785747	0.848355365804384	-5.67216475287043
TC1000010083.hg.1	NR_120650	LOC101929073	uncharacterized LOC101929073	0.209125077136665	0.916516980548311	1.92146876529658	0.0620530279737388	0.545910047949806	-4.40008852681141
TC1000010106.hg.1	NR_026795	LINC00202-1	long intergenic non-protein coding RNA 202-1	-0.159883368244058	4.14509415577787	-1.25700199113923	0.21628000717488	0.769151900896549	-5.36331486287874
TC1000010139.hg.1	NR_107053	MIR8086	microRNA 8086	0.0910517124854697	1.11479497383533	1.07005876776272	0.29121572070199	0.820529845754175	-5.56829612578308
TC1000010145.hg.1	NR_033805	WAC-AS1	WAC antisense RNA 1 (head to head)	-0.363829391939422	3.9313871735959	-1.10506136415372	0.275950055540417	0.811261822603619	-5.53225327347359
TC1000010154.hg.1	NR_038374	LINC00837	long intergenic non-protein coding RNA 837	0.0339600819456867	1.04175507337968	0.295568544906159	0.769138301727487	0.969492195922507	-6.07660101545635
TC1000010176.hg.1	NR_030335	MIR604	microRNA 604	-0.247791413266724	2.82781273600088	-0.858124195556881	0.396102872905951	0.872792969573387	-5.76299505602161
TC1000010182.hg.1	NR_030634	MIR938	microRNA 938	0.109397230075198	1.1724668045734	0.768449824637994	0.446880054872734	0.890582883516029	-5.83300263643566
TC1000010225.hg.1	NR_024284	ZEB1-AS1	ZEB1 antisense RNA 1	0.0228667702295597	5.8118725776382	0.230821812472586	0.818668105088229	0.977435169622966	-6.09322103233576
TC1000010258.hg.1	NR_120660	LOC101929431	uncharacterized LOC101929431	0.191173150636402	1.36923403382892	1.54293077892276	0.130978876131167	0.679892203481738	-4.99208404931805
TC1000010276.hg.1	NRP1.vdAug10-unspliced	NRP1	Transcript Identified by AceView, Entrez Gene ID(s) 8829	-0.20320975130848	1.49578877489847	-1.03411690148006	0.307495023427324	0.830457184697014	-5.60417054899348
TC1000010287.hg.1	NR_038932	LINC00838	long intergenic non-protein coding RNA 838	-0.168407930486707	2.12812297027022	-1.04319196987557	0.30332665506537	0.828191276891445	-5.59522148119674
TC1000010311.hg.1	NR_037405	MIR3611	microRNA 3611	0.00848242434828028	0.717942002622622	0.0930359611498921	0.926354548421086	0.99152767988908	-6.11500446060874
TC1000010363.hg.1	NR_051997	ZNF33BP1	zinc finger protein 33B pseudogene 1	0.173259234731723	1.07047767076434	1.7390588995815	0.0899674010373736	0.615484696746416	-4.69906778151488
TC1000010379.hg.1	NR_027269	SEPT7P9	septin 7 pseudogene 9	0.0477108971290714	3.94968466439929	0.472807592905021	0.639003906204703	0.944200429895418	-6.01034239997331
TC1000010405.hg.1	NR_024380	LOC441666	zinc finger protein 91 pseudogene	0.0448744546426507	2.74965670845512	0.268626735679584	0.789642533219391	0.972860568968317	-6.08401157828807
TC1000010407.hg.1	NR_103829	CCNYL2	cyclin Y-like 2, pseudogene	-0.0509395094499662	1.01316103545686	-0.47033268903385	0.640754969057307	0.944506868351222	-6.01147600277797
