PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC1400010083.hg.1	NR_001459	SNHG10	small nucleolar RNA host gene 10	0.0929522230240851	1.61189402317373	0.956403374565152	0.344799917393745	0.770713020838362	-5.99827898907558
TC1400010106.hg.1	NR_122121	LOC730202	uncharacterized LOC730202	0.0160776876449567	2.57474691122795	0.13050545150159	0.896841973883391	0.979855496055031	-6.44199458280145
TC1400010125.hg.1	NR_033943	LOC100129345	uncharacterized LOC100129345	0.190878969482705	1.2269062453508	1.73408923866817	0.0908557373933854	0.482510199515029	-5.00279267303265
TC1400010181.hg.1	NR_039601	MIR151B	microRNA 151b	-0.301101043447592	2.78640360087693	-2.04682593417677	0.0475033183209076	0.358627048668752	-4.46262821590329
TC1400010236.hg.1	NR_126006	LINC00524	long intergenic non-protein coding RNA 524	0.287966624806665	4.07739370871252	2.07216846261493	0.0449538768127789	0.349684716119946	-4.41567822945604
TC1400010298.hg.1	NR_033938	LINC00605	long intergenic non-protein coding RNA 605	0.347694971491619	1.77439450638295	2.5000591724238	0.0167625293063375	0.206690933173206	-3.55675000962347
TC1400010345.hg.1	NR_039859	MIR203B	microRNA 203b	0.165111142452393	0.87672115876928	1.68974973944189	0.0991103166841037	0.500147700892412	-5.07327933203974
TC1400010371.hg.1	NR_039860	MIR4710	microRNA 4710	0.0980848367047429	3.58549989159202	0.483394484955601	0.631537066244421	0.905456788558138	-6.33395446792275
TC1400010406.hg.1	NR_106823	MIR6765	microRNA 6765	0.171413937240863	6.92610174396859	1.81562191104377	0.0771756206784527	0.448687186314557	-4.86914083558146
TC1400010419.hg.1	NR_125384	LOC100507437	uncharacterized LOC100507437	0.0277713308525582	4.78522862169138	0.248161707767944	0.805320242142004	0.957549781846185	-6.41972525443576
TC1400010441.hg.1	NR_046211	ELK2AP	ELK2A, member of ETS oncogene family, pseudogene	0.186527811943899	3.51639568693431	1.23443731488881	0.224476806784115	0.675575061112393	-5.70301609517774
TC1400010453.hg.1	NR_130468	MIR4539	microRNA 4539	0.372118747894584	6.28227582609586	3.1272682400533	0.00334229752123097	0.0745509157258431	-2.10014778715299
TC1400010456.hg.1	NR_130467	MIR4538	microRNA 4538	0.0486476269718574	5.73455912549514	0.416138267773958	0.679605604318407	0.921409163359628	-6.36406404180349
TC1400010459.hg.1	NR_130466	MIR4537	microRNA 4537	0.143997048903305	5.05909472443447	1.19082329257797	0.240969564710996	0.691890734900778	-5.75395860764604
TC1400010465.hg.1	NR_002224	ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	0.106684156662024	2.47667417066456	0.727745411035419	0.471145858871719	0.841258264557252	-6.18735465851136
TC1400010563.hg.1	NR_049827	MIR5195	microRNA 5195	-0.150273287661495	2.44563004196454	-1.10771236745475	0.274817402290178	0.719249917831936	-5.84631190992509
TC1400010597.hg.1	NR_073454	LINC00609	long intergenic non-protein coding RNA 609	0.0485375763783524	1.59450457239021	0.342484321841534	0.73383800535921	0.937498113833117	-6.39191514491851
