PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC1900011763.hg.1	NR_037932	APOC4-APOC2	APOC4-APOC2 readthrough (NMD candidate)	-0.0772342620838762	3.99813514388267	-0.490278965907294	0.626702316349889	0.899459184448435	-6.13349836696262
TC1900011792.hg.1	NR_103847	ZNF350-AS1	ZNF350 antisense RNA 1	0.0335038989719825	1.69504698887957	0.241225735955316	0.810652569191811	0.957255730360081	-6.22318384349853
TC1900011803.hg.1	NR_003061	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2	0.157520383604998	2.18812085717252	1.13016270412145	0.265357565246567	0.708109101227716	-5.63119201472118
TC1900011806.hg.1	NR_037159	ZNF582-AS1	ZNF582 antisense RNA 1 (head to head)	-0.353952180206095	4.41145900710611	-1.42571190299276	0.161961122866979	0.597946214136788	-5.27368777153878
TC1900011809.hg.1	NR_110744	ZIM2-AS1	ZIM2 antisense RNA 1	0.0319186067870334	1.17973833390195	0.268416058112919	0.789803489982769	0.951026925006085	-6.21634682492114
TC1900011831.hg.1	NR_027334	MZF1-AS1	MZF1 antisense RNA 1	-0.0589969466618974	2.91257596146126	-0.343309540314927	0.733222041828004	0.934757915713835	-6.19376068083323
TC1900011832.hg.1	NR_026052	CENPBD1P1	CENPB DNA-binding domains containing 1 pseudogene 1	-0.0672341273805928	3.60129303404566	-0.581313823130572	0.564396649933695	0.876125411954157	-6.08565372676124
TC1900011878.hg.1	NR_037802	ZNF625-ZNF20	ZNF625-ZNF20 readthrough (NMD candidate)	0.590601864317682	4.89936454219749	3.2160889374199	0.00262372889016873	0.0819353154676219	-1.74194154301276
TC1900011896.hg.1	NR_029497	MIR24-2	microRNA 24-2	-0.958752600467715	4.11664096007722	-4.13654628121501	0.00018327979349473	0.0151184036554259	0.69989367932651
TC1900011897.hg.1	NR_029501	MIR27A	microRNA 27a	-0.645525898980665	3.35117120337263	-3.66514644034854	0.000739041467769122	0.0380641963578259	-0.585875787777877
TC1900011898.hg.1	NR_029495	MIR23A	microRNA 23a	-0.744938983102433	1.95191662252701	-4.00012712142904	0.000275958371681518	0.0198074724671248	0.321428134207355
TC1900011913.hg.1	NR_026956	LINC00663	long intergenic non-protein coding RNA 663	-0.0736763951544148	2.53025429031813	-0.411315706441973	0.683108039252326	0.917792910022334	-6.16849340748563
TC1900011923.hg.1	NR_110746	LOC101929164	uncharacterized LOC101929164	0.0167370341878503	1.20297145199332	0.122945143482295	0.902786254164386	0.979996204150364	-6.24445232448157
TC1900011962.hg.1	NR_026824	PSG10P	pregnancy specific beta-1-glycoprotein 10, pseudogene	-0.218597115621094	3.41727770270508	-0.590533349425013	0.558263137751568	0.874352788802048	-6.08036257130416
TC1900011974.hg.1	NR_038334	LOC100505715	uncharacterized LOC100505715	-0.218136192562215	5.33600538912377	-1.03803441372804	0.305690818096988	0.738800734337837	-5.72690078631117
TC1900012004.hg.1	NR_110730	PTOV1-AS2	PTOV1 antisense RNA 2	0.0537182271068408	4.67319613922567	0.381124380000655	0.705193481452506	0.924982980491363	-6.18026862039004
TC1900012013.hg.1	NR_110732	LOC101928517	uncharacterized LOC101928517	0.167076669287914	2.27566012076746	1.11068625935424	0.273550723507489	0.714424378974994	-5.65206098539666
TC1900012030.hg.1	NR_037805	ZNF321P	zinc finger protein 321, pseudogene	-0.0240016830003325	3.788926098383	-0.247509533665656	0.80582123284647	0.955498948656194	-6.22166837883713
TC1900012032.hg.1	NR_003578	ZNF702P	zinc finger protein 702, pseudogene	-0.121415105444425	4.35342158372278	-0.6104507885958	0.545128588719546	0.869323301738285	-6.06865298030305
TC1900012034.hg.1	NR_002938	LOC284379	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3 pseudogene	0.311695641397634	2.9257492148974	1.76381076433379	0.0856504826854987	0.471559854232245	-4.77506534891448
TC2000006486.hg.1	NR_040047	SDCBP2-AS1	SDCBP2 antisense RNA 1	0.128432165445314	2.92521105754273	0.682123409895646	0.499219864937508	0.849618028565264	-6.0233726891638
TC2000006494.hg.1	NR_110090	SIRPG-AS1	SIRPG antisense RNA 1	-0.0203591469708584	1.32413085214102	-0.17249860948687	0.863943733400203	0.97098398070008	-6.23722077012671
TC2000006538.hg.1	NR_038395	UBOX5-AS1	UBOX5 antisense RNA 1	-0.147375509779339	3.78985908532513	-0.796271218862399	0.430727816142038	0.816025210587881	-5.94117525269099
TC2000006563.hg.1	NR_029519	MIR103A2	microRNA 103a-2	-0.171038945623042	1.20571335561858	-1.1571819409436	0.254284491025338	0.699236992772128	-5.60168061511108
TC2000006573.hg.1	NR_033917	LINC01433	long intergenic non-protein coding RNA 1433	-0.049451362681947	3.98568282590069	-0.291239057259372	0.772422421039489	0.946837965553675	-6.21004703429884
TC2000006600.hg.1	NR_028370	PCNA-AS1	PCNA antisense RNA 1	-0.174937342742442	3.41181747031135	-1.3675072098618	0.179349396717679	0.620563866078915	-5.35004780551821
TC2000006611.hg.1	NR_029405	LOC643406	uncharacterized LOC643406	-0.048599530471801	4.13253667016982	-0.423288448193268	0.674425929649819	0.915177372310546	-6.16357756414792
TC2000006641.hg.1	NR_109953	CASC20	cancer susceptibility candidate 20 (non-protein coding)	-0.143932311281225	0.872743037270654	-1.38887007626406	0.172806763086	0.612085962016957	-5.3223544443965
TC2000006649.hg.1	NR_110610	LOC101929312	uncharacterized LOC101929312	-0.0929472062554108	1.00610638119516	-0.964063305672872	0.340994700551772	0.761537999035115	-5.79818190251166
TC2000006650.hg.1	NR_107029	MIR8062	microRNA 8062	-0.258621350602643	0.940442811399086	-2.1679563162375	0.0363695021180522	0.327667959179815	-4.06416051207165
TC2000006670.hg.1	NR_004386	RNU105B	RNA, U105B small nucleolar	0.120692060369948	3.16738882862693	0.882274883771316	0.383070812979147	0.788654124536219	-5.87114927425781
TC2000006704.hg.1	NR_110611	LOC101929395	uncharacterized LOC101929395	0.0333664654237648	0.938518033972396	0.270888727150187	0.787914970398004	0.950346102945042	-6.21568901635764
TC2000006735.hg.1	NR_109870	LOC100505515	uncharacterized LOC100505515	-0.176664927405679	2.06003900717052	-1.26968566141411	0.211771934231127	0.656455705906481	-5.47186720978569
TC2000006763.hg.1	NR_104193	MACROD2-IT1	MACROD2 intronic transcript 1	0.0217336028668411	1.11112834370584	0.176970228299097	0.860453911066893	0.970477901594575	-6.23644904621925
TC2000006826.hg.1	NR_034167	LINC00851	long intergenic non-protein coding RNA 851	0.0161548478429467	2.46097279650925	0.13297091315852	0.894904791602166	0.978407376305224	-6.24318476549306
TC2000006830.hg.1	NR_036160	MIR3192	microRNA 3192	0.0641631010622836	3.71514272876464	0.461824101935983	0.646790847249644	0.906008150690454	-6.14680767916752
TC2000006843.hg.1	NR_026885	LOC100270804	uncharacterized LOC100270804	0.0755021002750054	1.69441835174964	0.515460173897857	0.609161124474583	0.892673648060751	-6.1210654135099
TC2000006909.hg.1	NR_109880	LOC101929625	uncharacterized LOC101929625	0.400905712609568	2.16081539287098	1.95300939676397	0.0580706596091059	0.403011888128522	-4.45704997097874
TC2000006921.hg.1	NR_038394	LINC01432	long intergenic non-protein coding RNA 1432	0.138378454022396	3.07944928955749	0.943239906309425	0.351404611595466	0.769508574605598	-5.81734491466413
TC2000006966.hg.1	NR_001279	CST13P	cystatin 13, pseudogene	0.0278214286296599	1.5560400692241	0.189714496571647	0.850523553697254	0.968039002294675	-6.23414144772265
TC2000006987.hg.1	NR_040102	FLJ33581	uncharacterized LOC400839	-0.0311342939485566	1.5338775325762	-0.221077841661681	0.826193111169577	0.96167373924362	-6.22778088808133
TC2000007022.hg.1	NR_126465	ZNF337-AS1	ZNF337 antisense RNA 1	-0.00208359889765175	2.67934225088406	-0.0105286293259138	0.991653566121186	0.998791546198217	-6.25186681016756
TC2000007036.hg.1	NR_110003	LOC101926955	uncharacterized LOC101926955	0.0996587112701307	1.00193424887664	1.04867462300501	0.300827350859352	0.735517187098878	-5.71623791069978
TC2000007037.hg.1	NR_004846	LOC100134868	uncharacterized LOC100134868	0.200318010363382	5.50935406067218	1.47242644505241	0.14898534110746	0.580105654598826	-5.21034076639009
TC2000007040.hg.1	NR_026713	FAM182A	family with sequence similarity 182, member A	0.0815918690694246	1.31080552485552	0.590194462743308	0.558487992960486	0.874368564824395	-6.08055850778362
TC2000007048.hg.1	NR_132316	FRG1DP	FSHD region gene 1 family member D, pseudogene	0.279972314550077	2.09956093867183	2.13894882036328	0.0388017833629061	0.338174055570375	-4.11906645228462
TC2000007052.hg.1	NR_039689	MIR4477B	microRNA 4477b	0.176861557277068	0.939711069413129	1.85398990646593	0.0713669296503394	0.437382954218451	-4.62684016541119
TC2000007058.hg.1	NR_003579	FRG1BP	FSHD region gene 1 family member B, pseudogene	0.71498147167833	5.91209193401059	4.19313812448061	0.000154475976059976	0.013513725913267	0.85823328425445
TC2000007074.hg.1	NR_024358	LINC00028	long intergenic non-protein coding RNA 28	0.0454762972213216	3.41748261747456	0.286038130555817	0.776373170449987	0.947420587583261	-6.21152764674597
TC2000007084.hg.1	NR_036161	MIR3193	microRNA 3193	-0.0583140069342845	2.39327058317616	-0.323425620894207	0.748112665803401	0.939399749428733	-6.20029361151825
TC2000007088.hg.1	NR_131907	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	-0.219038841246694	3.52019204434534	-0.948809753115062	0.348599870209228	0.767181738440915	-5.81225824014336
TC2000007099.hg.1	NR_106988_10	MIR7641-2	Homo sapiens microRNA 7641-2 (MIR7641-2), microRNA.	-0.210320734369131	1.42188045603118	-1.67235886928285	0.102513486906621	0.505696997115095	-4.91897574426947
TC2000007121.hg.1	NR_110619	LOC101929698	uncharacterized LOC101929698	0.046771932260802	2.00823851752122	0.353140780449327	0.725897591133372	0.932217313619556	-6.19038753846041
TC2000007125.hg.1	NR_034152	LOC149950	uncharacterized LOC149950	0.105760662767127	3.03152867527794	0.813073428285361	0.421145683690823	0.811308977234552	-5.92803831185673
TC2000007147.hg.1	NR_026760	BPIFA4P	BPI fold containing family A, member 4, pseudogene	0.193112122498767	1.68817388021104	1.29100821459855	0.204353009792807	0.648690362032192	-5.4460166874019
TC2000007176.hg.1	NR_039911	MIR4755	microRNA 4755	-0.025904020512453	1.67933801602839	-0.174044712592364	0.862736779687519	0.97096702188938	-6.23695616961913
TC2000007188.hg.1	NR_030374	MIR644A	microRNA 644a	-0.30076345570437	1.56698904208764	-1.65397391393312	0.106215636692776	0.513418414186811	-4.94711335670497
TC2000007207.hg.1	NR_030223	MIR499A	microRNA 499a	0.144455222781589	4.88886172984028	1.0941742915207	0.280636282624319	0.71954763241201	-5.6694874749928
TC2000007214.hg.1	NR_109815	FAM83C-AS1	FAM83C antisense RNA 1	0.197769489873725	5.08249945097399	1.8542888270691	0.0713231772178034	0.437367061547146	-4.62633858359492
TC2000007293.hg.1	NR_040021	LOC100287792	uncharacterized LOC100287792	-0.0533158231257902	3.42539914721958	-0.493900521105584	0.624165669756985	0.898590537291906	-6.13174808725891
TC2000007318.hg.1	NR_002972	SNORA71E	small nucleolar RNA, H/ACA box 71E	0.0364776487312994	5.12156799759688	0.260699571818342	0.795705219492403	0.952735499269987	-6.21836101685458
TC2000007321.hg.1	NR_039605	MIR548O2	microRNA 548o-2	-0.110916172780408	1.29386716137644	-0.888062624501699	0.379988649921062	0.786700567525631	-5.86618915983734
TC2000007389.hg.1	NR_106931	MIR6871	microRNA 6871	-0.277267654016161	5.81013728165062	-2.15403939032108	0.0375190738516578	0.332734066019733	-4.09057449003442
TC2000007411.hg.1	NR_110004	LOC101927159	uncharacterized LOC101927159	0.0704557072841695	1.02580438469874	0.684114552995593	0.49797560019204	0.849156574063106	-6.02204474124119
TC2000007447.hg.1	NR_038337	OSER1-AS1	OSER1 antisense RNA 1 (head to head)	0.175180717955171	4.46260182418753	0.872608965226529	0.388253602690744	0.792218938477461	-5.87936362323523
TC2000007453.hg.1	NR_037419	MIR3646	microRNA 3646	-0.00881147231130197	1.21415481155633	-0.0720183738173457	0.94295787439693	0.98910559583	-6.24935829544703
TC2000007489.hg.1	NR_106870	MIR6812	microRNA 6812	0.0132798531564182	5.01388391504664	0.1127614514112	0.910802063166679	0.981713561361301	-6.24563825366394
TC2000007552.hg.1	NR_037410	MIR3616	microRNA 3616	-0.145285670322587	2.23878539185216	-1.10010746435254	0.278075490896846	0.718021154890254	-5.66325384212262
TC2000007558.hg.1	NR_024594	LOC100131496	uncharacterized LOC100131496	0.152532425893281	2.14290788636945	0.860644715395743	0.394729894906948	0.79652688844575	-5.88941080385237
TC2000007596.hg.1	NR_109942	LINC01523	long intergenic non-protein coding RNA 1523	-0.2301530033998	1.1354945750925	-1.99137699076859	0.0535254496445669	0.389407399241542	-4.38932583606736
TC2000007607.hg.1	NR_026958	LINC00494	long intergenic non-protein coding RNA 494	0.111326080269253	1.53426368332351	0.888848783558232	0.379571219304908	0.786261237019237	-5.86551302018731
TC2000007687.hg.1	NR_034124	LINC01270	long intergenic non-protein coding RNA 1270	0.0873860129622024	3.44205561706899	0.653732103917852	0.517146819900542	0.857106814194874	-6.04189651192752
TC2000007698.hg.1	NR_030375	MIR645	microRNA 645	-0.171725162782533	3.01051726478086	-0.982820097268572	0.331795334325587	0.755538218627992	-5.7805800654643
TC2000007701.hg.1	NR_111906	LOC100506175	uncharacterized LOC100506175	-0.0696612549061157	2.12505138770819	-0.488758395686947	0.627768741035575	0.899826934763034	-6.13422946053774
TC2000007713.hg.1	NR_110007	ADNP-AS1	ADNP antisense RNA 1	0.236889627724763	2.33301060446581	1.44494850681787	0.156514208026257	0.59068003940074	-5.24782306425686
TC2000007778.hg.1	NR_110051	LOC101927770	uncharacterized LOC101927770	-0.339404949977766	2.80818542237728	-2.94784994958783	0.00539748808302202	0.123495132598762	-2.39221282919926
TC2000007850.hg.1	NR_110631	BMP7-AS1	BMP7 antisense RNA 1	-0.057285078955883	2.61191684433364	-0.375468694950699	0.709360284511389	0.926857267598978	-6.18237545748336
TC2000007872.hg.1	NR_131157	NKILA	NF-kappaB interacting long non-coding RNA	-0.0807928095226109	1.88914253182184	-0.606558614041184	0.547682704595237	0.870177347255267	-6.07097115805338
