Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
response to glucose (GO:0009749)	9/49	0.019064447258696944	0.17332241231602324	0	0	2.4710810810810813	9.78530829952288	TCF7L2;PRKAA1;PRKAA2;TRA2B;ZNF236;SLC39A14;THBS1;SOX4;IGF1R
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	21/155	0.019088834092706574	0.17332241231602324	0	0	1.7247338624481945	6.827620666556216	MTPN;CHUK;WNT5A;STAT3;EIF2AK2;TNFRSF11A;MALT1;MTDH;IL6;DHX33;UBC;RPS3;EP300;TAB3;TERF2IP;PRKD2;TAB2;MAP3K13;MAP3K7;ZBTB7A;HSPA1A
regulation of protein ubiquitination (GO:0031396)	16/109	0.019119871493157723	0.17332241231602324	0	0	1.8919542913472638	7.486514388539346	IVNS1ABP;AMER1;FBXW7;DCUN1D1;HUWE1;TNFAIP3;XIAP;MALT1;SMAD7;PER2;RPS3;UBQLN1;SQSTM1;OGT;SOX4;HSPA1A
regulation of angiogenesis (GO:0045765)	26/203	0.01949800071942139	0.17639164951038416	0	0	1.6176910207887665	6.369566745491106	FOXC1;SP100;SPARC;NPR1;ROCK2;GATA6;HSPB1;TNFAIP3;TSPAN12;HIF1A;THBS1;MTDH;PGK1;KRIT1;ITGB8;HTATIP2;WNT5A;VEGFC;HMGA2;HIPK1;RHOB;VEGFA;IL6;SP1;NF1;PRKD2
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	46/404	0.020259544418663032	0.18291005689724113	0	0	1.4181433846238316	5.529524376007143	NCKAP1;GSK3B;NRP2;FOXC1;ROCK2;SDC2;IRS4;PIK3R3;WASL;ADRB2;EFNA5;IGF1R;TIAL1;EFNB2;PTBP1;SIPA1L1;POLR2B;CASP3;AP3S1;PAK2;AP2M1;APPL1;LYN;ATP6V1G1;EPHA7;RYK;SORT1;NCBP2;STAT3;VEGFC;FRS2;ARPC5;MAPK14;SLC39A14;SHCBP1;VEGFA;SETX;ARPC2;PIK3CA;APC;HNRNPH1;HNRNPF;DDIT4;ATP6V1B2;PRKD2;MUC20
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	11/66	0.020341885913216774	0.1829129257519089	0	0	2.1973541791942273	8.558855315462907	PSMA5;PSMB6;USP47;PSMA4;PSMB5;PSMD5;PSME3;PSMC1;PSMC2;PSME2;SKP1
positive regulation of cell death (GO:0010942)	11/66	0.020341885913216774	0.1829129257519089	0	0	2.1973541791942273	8.558855315462907	EFNB2;GSK3B;EGR1;CDKN1B;SLFN11;APC;CELF1;WNT5A;DDIT4;HTATIP2;MAP3K5
organelle disassembly (GO:1903008)	7/34	0.02054960807313509	0.183302504012365	0	0	2.8459419227265657	11.056237939933967	KIF5B;RB1CC1;CDK1;ULK2;DENR;ULK1;PELO
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)	7/34	0.02054960807313509	0.183302504012365	0	0	2.8459419227265657	11.056237939933967	GSK3B;MAPK8;CASP8;YWHAB;PMAIP1;YWHAZ;YWHAG
positive regulation of protein dephosphorylation (GO:0035307)	7/34	0.02054960807313509	0.183302504012365	0	0	2.8459419227265657	11.056237939933967	PPP1R15B;PTBP1;ANKLE2;TGFB1;PPP2R5A;SPPL3;CALM2
protein localization to chromosome (GO:0034502)	7/34	0.02054960807313509	0.183302504012365	0	0	2.8459419227265657	11.056237939933967	RB1;TNKS2;BOD1;XRCC5;RAD21;TERF2IP;CHMP7
positive regulation of phosphorylation (GO:0042327)	31/253	0.02067116995073677	0.1840187983638443	0	0	1.538670746217916	5.968527374704393	PRKAA1;PRKAA2;ROCK2;PIK3R3;EFNA5;STK4;HIF1A;THBS1;CRKL;IGF1R;FXR1;DSTYK;CCND2;CCND1;KCTD20;RB1CC1;CCL5;SOX9;FNIP1;LYN;EPHA7;TGFB1;SEMA4D;RYK;PTGES3;GLMN;VEGFC;CSNK1D;ACVR2A;VEGFA;ITGA6
