Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of transcription by RNA polymerase II (GO:0006357)	88/2206	2.718008216816844E-9	6.275880972630093E-6	0	0	2.16536580553324	42.7083033850086	HMX3;CSRNP3;THRB;CCNT1;MAML1;ONECUT3;FHL2;HMGB2;HNRNPU;ZBTB20;HMGB1;RBPJ;MEOX2;HOXA13;PAGR1;YY2;ZNF83;ZNF566;ZIK1;EMX2;MYOCD;ZNF283;PARP1;OLIG3;PRKCB;ZNF480;SERPINF2;ZNF99;ZFX;AR;TAL2;MTF2;ZNF439;ZNF878;ZSCAN23;VGLL2;HOXB5;ZNF431;ZNF594;ZNF791;FOXC1;NFIX;KMT2A;SHOX2;TSHZ2;ZNF23;ASCL1;PRDM10;RPAP2;FOXO1;ATXN1;MTA1;NSD1;ZNF704;ZNF669;ZSCAN12;PLAGL2;ZNF701;ZNF667;ZNF468;E2F6;MTA3;ZNF286A;STAT5A;AKIRIN1;DR1;NPM1;CBX6;PHF12;STAT3;HMGA1;ARID3A;DEK;POU2F2;KLF2;ACVR2A;KLF8;MLLT10;NFIC;ZNF616;TLX1;ZNF415;HDGF;BCOR;ZNF611;CPEB3;NFE2L1;ZSCAN2
regulation of transcription, DNA-templated (GO:0006355)	88/2244	6.211753256759069E-9	7.1714691349283455E-6	0	0	2.122570819372525	40.109844341834346	CD86;KDM5A;SETD5;LIN54;HMX3;CSRNP3;CCNT1;ONECUT3;HMGB2;ZBTB20;HMGB1;RBPJ;MEOX2;HOXA13;YY2;ZNF83;JARID2;ZNF566;ZIK1;ZNF682;EMX2;MYOCD;ZNF283;OLIG3;PRKCB;ZNF480;RHOG;ZNF99;ZFX;DNM2;AR;ZNF90;TAL2;MTF2;ZNF439;ZNF878;ZSCAN23;ZNF117;ZNF678;VGLL2;VGLL4;HOXB5;ZNF431;ZNF594;SAMD7;ZNF791;FOXC1;NFIX;KMT2A;SHOX2;TSHZ2;ZNF23;ASCL1;FOXO1;ATXN1;NSD1;ZNF704;ZNF669;ZSCAN12;PLAGL2;ZNF701;ZNF667;ZNF468;E2F6;MTA3;ZNF286A;STAT5A;PHC2;NPM1;FZD2;PHF12;STAT3;HMGA1;ARID3A;DEK;FOXN2;POU2F2;KLF2;KLF8;NFIC;ZNF616;TLX1;ZNF415;HDGF;BCOR;ZNF611;NFE2L1;ZSCAN2
negative regulation of signal transduction (GO:0009968)	18/267	1.6743992025357828E-5	0.012887292528850408	0	0	3.449888442659527	37.94004827073603	PTPRT;OTUD4;NLGN4X;CSNK2A1;PRKCB;YWHAB;HHIP;PTCH2;PIK3CB;LILRA2;TSKU;NKD2;RNF157;HMGXB4;SPRY3;VGLL4;TRABD2A;LTF
negative regulation of transcription by RNA polymerase II (GO:0000122)	31/684	6.188878512832111E-5	0.03572530121532336	0	0	2.2917929805919304	22.20786718929612	FOXC1;NFIX;THRB;SHOX2;FHL2;HNRNPU;HMGB1;RBPJ;ASCL1;ATXN1;MTA1;NSD1;ZNF669;ZNF566;E2F6;MTA3;DR1;CBX6;PARP1;PHF12;STAT3;KLF2;KLF8;AR;NFIC;MTF2;ZNF439;HDGF;BCOR;CPEB3;ZNF431
negative regulation of transcription, DNA-templated (GO:0045892)	38/948	1.268023926859141E-4	0.058557344942355136	0	0	2.0246781789638932	18.167195647165833	SAMD7;FOXC1;NFIX;THRB;SHOX2;FHL2;HMGB2;HNRNPU;HMGB1;RBPJ;ASCL1;FOXO1;ATXN1;MTA1;NSD1;ZNF669;JARID2;ZNF566;E2F6;MTA3;PHC2;DR1;CBX6;PARP1;PHF12;STAT3;HMGA1;KLF2;KLF8;AR;NFIC;MTF2;ZNF439;HDGF;BCOR;CPEB3;VGLL4;ZNF431
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11/155	4.719116072704666E-4	0.18160731686458456	0	0	3.603071062567422	27.594908310348117	TRIM8;AR;NPM1;TFRC;DHX33;SLCO3A1;PRKCB;CLEC7A;STAT3;FLOT1;LTF
regulation of cellular component organization (GO:0051128)	10/139	7.603628654183783E-4	0.21650802693177074	0	0	3.6503556881956567	26.21581341325203	SETD5;RAB5B;HIP1;TFRC;ANGPTL7;PTCH2;RAPGEF1;HNRNPU;SGK3;SGK1
positive regulation of DNA-binding transcription factor activity (GO:0051091)	14/246	7.963938912721341E-4	0.21650802693177074	0	0	2.8542070651715705	20.365956633155722	NPM1;MYOCD;FZD2;TFRC;PRKCB;STAT3;TRIM8;AR;DHX33;SLCO3A1;CLEC7A;FLOT1;PLPP3;LTF
purinergic nucleotide receptor signaling pathway (GO:0035590)	4/21	8.874049710141005E-4	0.21650802693177074	0	0	10.984135897795873	77.18781992622853	P2RX7;ENTPD5;TXNIP;SUGT1
peptidyl-serine modification (GO:0018209)	11/169	9.693319173345366E-4	0.21650802693177074	0	0	3.2814458645692515	22.769636092262203	SBK1;CSNK2A1;PARP1;PRKCB;CSNK1A1;DCLK3;LMTK2;SGK3;STK4;SGK1;UHMK1
